replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,[4794.3433],22.08181,22.064045,-4.6387625,-0.008073607,0.0013601452,-0.004353745,-0.011690601,-0.0061836476,0.0013727983,-0.002025033,-0.010282399,4.6554985,0.57691383,6.7104597,3.145688,-4.6470766,0.55941725,-2.930903,-6.3203683,0.00035533556,0.0016851319,0.0038198242,-0.0038249763,0.00026350873,0.00092898123,0.002086074,-0.0025758867,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.00166762828576617,0.002900728071113641,0.04360267040506245,0.00014761507576364072,0.8338141428830841,0.49074573663064947,1.7378623817084489,0.13299797028171997,0.001720522,0.62730503,0.9994035,-0.9998715,10,0.8338141428830841,5000,10,500.0,0.0,500,500,0.0021535293758980297,0.0015959107580302073,0.011502910644236765,0.0005520820804430726,1.076764687949014,0.7943688827442307,2.7757022171640413,0.3483129750888008,1.076764687949014,0.7943688827442307,2.7757022171640413,0.3483129750888008,0.00028961847,0.0016275997,0.003078664,-0.0031763702,10,1.076764687949014,0.03172240126878023,92.14299061708152,93.92062704171985,0.027959066443145275,0.014982568100094795,8.83876895532012,194.97705064993352,220.7445858148858,0
11000,[4796.538],0.059045404,0.063728765,-22.035326,17.281162,0.54450834,18.35311,15.44421,17.255154,0.5722543,18.391794,15.362959,17.289337,0.5229599,18.996807,15.881752,-4.7944565,0.31789762,-3.9861858,-6.475055,-0.003298089,0.006039861,0.009090286,-0.021471716,-0.13941304,0.005382311,-0.123401396,-0.15364186,0.7405490875244141,-3.5390844345092773,11000,22,500.0,0.0,500,500,0.004052548067988451,0.006968994925827055,0.053834164686981524,0.00027486847181483747,2.026274033994229,2.295811747430445,8.0911763062787,0.18604329392752988,-0.0064136335,0.5839471,0.99877363,-0.9971611,10,2.026274033994229,10000,20,500.0,0.0,500,500,0.0009883883730640898,0.0006777030138905379,0.006394705337733286,0.0002692837978428341,0.49419418653204483,0.3243156780285713,1.2466400900358132,0.13484097040677276,0.49419418653204483,0.3243156780285713,1.2466400900358132,0.13484097040677276,-0.0050578923,0.0061258627,0.0051611243,-0.019864324,10,0.49419418653204483,0.03275760728865862,90.53192957118154,94.18572709243745,0.029004467651247978,0.010137091390788555,8.865273195318878,193.65482902526855,414.40192997734994,1
16000,[4790.1396],0.025314227,0.024385752,-34.283417,29.532658,0.81194717,31.186441,26.273376,29.51014,0.7980136,31.199472,26.362755,29.501602,0.7965262,31.168913,26.131111,-4.7863097,0.29193768,-3.9337354,-6.1912146,-0.00015414917,0.011457563,0.022022123,-0.026461849,-0.13026258,0.008284664,-0.107011594,-0.1529482,0.5486156940460205,-7.072460174560547,16000,32,500.0,0.0,500,500,0.0022804360819768527,0.005275322720569218,0.06375693453780021,8.330247630177199e-05,1.140218040988423,1.0537855197990211,3.280746442009934,0.17203687625857877,0.0026076895,0.591573,0.99959886,-0.99971,10,1.140218040988423,15000,30,500.0,0.0,500,500,0.0018551354777893718,0.0008671974818963539,0.00604138142594366,0.000451337703505883,0.9275677388946855,0.40648300615492056,1.7900591068924925,0.3485067633077625,0.9275677388946855,0.40648300615492056,1.7900591068924925,0.3485067633077625,4.5500477e-05,0.009921532,0.019693168,-0.016738178,10,0.9275677388946855,0.03271954134106636,90.44031810574234,93.29709604941308,0.028646505437791348,0.011909161694347858,8.669025894254446,192.47971525788307,606.8840923421085,2
21000,[4779.76],0.02979189,0.026829977,-42.622856,37.892883,1.0590714,39.72306,30.933037,37.905453,1.0503858,39.78737,31.016594,37.94587,1.0415174,39.75511,30.942465,-4.748329,0.28734988,-3.9570951,-5.7145605,0.0011499127,0.020718878,0.0628667,-0.048213623,-0.12810625,0.008180739,-0.10295628,-0.14911334,0.40642666816711426,-10.574106216430664,21000,42,500.0,0.0,500,500,0.0028051169881358204,0.0044909286288837185,0.03905322414003644,0.00029249819080254805,1.4025584940679114,1.3704398067631425,3.437458957015184,0.1845117799922414,0.00021247055,0.590551,0.9973198,-0.9963854,10,1.4025584940679114,20000,40,500.0,0.0,500,500,0.001999784054792245,0.0017961241350608972,0.008136970347099948,0.0003898137822617387,0.9998920273961225,0.8577618171226291,3.4102968014713153,0.2575634409105245,0.9998920273961225,0.8577618171226291,3.4102968014713153,0.2575634409105245,-5.0316266e-06,0.015431319,0.03991714,-0.035855033,10,0.9998920273961225,0.03287475183606148,91.10937664844096,94.2078249072656,0.029172362759709358,0.012730185873806477,9.09758616052568,194.48956501670182,801.3761671837419,3
26000,[4779.131],0.015209264,0.023701929,-48.48822,43.71241,0.9794685,45.782898,39.44279,43.767117,0.9827535,45.97455,39.40758,43.66752,0.9780705,45.70213,39.10359,-4.771741,0.30882898,-3.8808177,-6.0228558,-0.008989255,0.031951573,0.07316753,-0.10468569,-0.13312514,0.010094473,-0.105411634,-0.16565667,0.3011101186275482,-14.125846862792969,26000,52,500.0,0.0,500,500,0.005030022777419093,0.01070010276142989,0.07195143920681361,5.6807088973409586e-05,2.5150113887095484,3.581342490267092,11.092495230232025,0.183687344039358,-0.0077220784,0.58702856,0.9993156,-0.9990216,10,2.5150113887095484,25000,50,500.0,0.0,500,500,0.0027516265060961876,0.0032462379840511634,0.011249353069667635,0.00028531463240555327,1.3758132530480942,1.570054653709224,4.547830951754449,0.1547515931750088,1.3758132530480942,1.570054653709224,4.547830951754449,0.1547515931750088,-0.011502291,0.02301286,0.038540002,-0.07898971,10,1.3758132530480942,0.033649095334112644,90.70877470262349,95.15547419060022,0.028388903476297855,0.012817027047276497,8.945961126126349,194.88506504520774,996.2636838890612,4
31000,[4777.965],0.016526066,0.017263457,-51.830093,47.08848,0.9561033,49.114544,40.45806,47.078854,0.957288,49.1546,40.387753,47.129807,0.9520463,49.19192,40.35669,-4.769035,0.32278976,-4.0393453,-5.843073,0.00038826422,0.05034423,0.15387341,-0.17614107,-0.12490969,0.0082090795,-0.10028711,-0.14690998,0.22308440506458282,-17.652435302734375,31000,62,500.0,0.0,500,500,0.005306596508507333,0.008730693131987963,0.06580449663077324,0.00031127110716526734,2.6532982542536665,2.4549584842455245,8.127136510916229,0.523963923658009,-0.0004998278,0.5913196,0.9978862,-0.99851483,10,2.6532982542536665,30000,60,500.0,0.0,500,500,0.005343468034906472,0.004041499258876544,0.017313839400380004,0.0002784117254592599,2.6717340174532347,1.797658010477507,7.510061540883824,0.710855483234716,2.6717340174532347,1.797658010477507,7.510061540883824,0.710855483234716,-0.002078738,0.023651777,0.049300045,-0.0988287,10,2.6717340174532347,0.03197140619158745,90.66654402110726,93.16488171182573,0.028264427557587624,0.012766036204993725,9.099745088256896,193.00417269114405,1189.2703779852018,5
36000,[4766.817],0.0101895835,0.011735588,-53.632214,48.88365,0.9226144,50.757385,40.97024,48.885384,0.921244,50.73292,41.081066,48.891,0.91411203,50.68732,41.031937,-4.7685966,0.34397832,-3.9103553,-6.8039064,-0.006077177,0.067391254,0.19352849,-0.290195,-0.12289543,0.010823074,-0.09362019,-0.16548984,0.16529326140880585,-21.180347442626953,36000,72,500.0,0.0,500,500,0.0022913807457778266,0.005195934445858523,0.0532684003942689,0.00030048263195481256,1.1456903728889123,1.4409437032748251,4.748821577027271,0.17534956428142942,0.00161551,0.5917527,0.9994087,-0.9970128,10,1.1456903728889123,35000,70,500.0,0.0,500,500,0.002241988215390437,0.001483747775043574,0.006375523560552654,0.000516715694482639,1.1209941076952183,0.661899931423522,2.8575943902284338,0.5087642465816385,1.1209941076952183,0.661899931423522,2.8575943902284338,0.5087642465816385,-0.0062512583,0.020141715,0.09346701,-0.13238534,10,1.1209941076952183,0.032966882921755314,91.01138585619628,93.31780759897083,0.027778486721217632,0.01194524671882391,8.842009915970266,193.24389398749918,1382.516773244366,6
41000,[4765.3896],0.007989061,0.009137105,-54.347233,49.597366,0.8720557,51.185833,43.5992,49.583313,0.8723094,51.21279,43.56218,49.618256,0.87630975,51.149548,43.582367,-4.777954,0.4550465,-3.3563824,-6.4067783,0.00732834,0.08668617,0.26740158,-0.375533,-0.11663972,0.011666786,-0.0843895,-0.15580265,0.12248469889163971,-24.727455139160156,41000,82,500.0,0.0,500,500,0.0018712766620068845,0.005538852971510087,0.06867443725751764,0.00022717432963311748,0.935638331003443,1.3952181088233229,5.010642056436404,0.18391648558373866,0.0059464443,0.59437865,0.9989907,-0.9997153,10,0.935638331003443,40000,80,500.0,0.0,500,500,0.007531883185038678,0.005888123916191678,0.03251772152186229,0.0004879275816889406,3.7659415925193387,2.3549151240531496,7.0029031384847205,0.6379970754215235,3.7659415925193387,2.3549151240531496,7.0029031384847205,0.6379970754215235,-0.0034090583,0.026023362,0.10915638,-0.16792957,10,3.7659415925193387,0.03245750814676285,91.54308118764311,93.4188967840746,0.029218402691185474,0.012956993654370308,9.513185788877308,194.54979666508734,1577.0691567854956,7
46000,[4754.2183],0.00860843,0.0061158743,-54.169636,49.428154,0.94965214,52.876156,44.31333,49.450195,0.9463698,52.748367,44.376995,49.48009,0.94554454,52.839893,44.32553,-4.7462416,0.50890195,-3.1124773,-6.238556,-0.0014662228,0.121895425,0.4983661,-0.4439754,-0.12043465,0.012925497,-0.073530585,-0.16394329,0.09078417718410492,-28.178890228271484,46000,92,500.0,0.0,500,500,0.001850592576922501,0.004748163977078964,0.055997583949810775,0.00034733326026790127,0.925296288461249,0.8642850645149245,3.2308834749046325,0.18536467592367284,0.0070318324,0.595504,0.998186,-0.9987126,10,0.925296288461249,45000,90,500.0,0.0,500,500,0.004869009592200278,0.0030604952994484776,0.01161639500585403,0.00045501485856505044,2.4345047961001396,1.3704704785923034,5.107814997728298,0.801791656855087,2.4345047961001396,1.3704704785923034,5.107814997728298,0.801791656855087,-0.004627237,0.029911991,0.12801524,-0.21470168,10,2.4345047961001396,0.03248260449618101,94.48980749491602,93.55593613348901,0.02803398296236992,0.012451893649995327,9.095720366574824,197.2144324760884,1774.2861475059763,8
51000,[4754.0425],0.00720091,0.005412517,-53.469795,48.822697,0.7653083,51.737663,46.491264,48.790314,0.76422554,51.698456,46.457756,48.775154,0.7620451,51.674973,46.42953,-4.677952,0.5333436,-2.1893682,-5.924224,0.0023215413,0.16026576,0.5829512,-0.6123159,-0.11834069,0.015055718,-0.057012096,-0.17426828,0.0673115998506546,-31.50855827331543,51000,102,500.0,0.0,500,500,0.0033040000652131752,0.009808073957804107,0.08394114346636436,0.0002921065700291824,1.6520000326065774,3.294003619340837,11.471088689738998,0.19709909603201387,-0.0028641655,0.59842163,0.997768,-0.9992613,10,1.6520000326065774,50000,100,500.0,0.0,500,500,0.0037331587205319677,0.0031149838243847232,0.01366833848370176,0.00033228578666038005,1.866579360265984,1.431133241370622,5.161663828501267,0.257436013332764,1.866579360265984,1.431133241370622,5.161663828501267,0.257436013332764,-0.007983718,0.03866792,0.15593022,-0.28499347,10,1.866579360265984,0.032382299192249775,91.80313833802938,95.05942265503109,0.029750755056738853,0.011855585500597954,9.070343872532248,196.0068935053423,1970.295572925359,9
